clean_acc,CRPA,clean_class_iou,wc_class_iou,class,epsilon
0.8975680470466614,0.8935577273368835,0.9471796272843235,0.9445625253978862,road,0.001
0.8975680470466614,0.8935577273368835,0.6417212025864121,0.6279360899017706,sidewalk,0.001
0.8975680470466614,0.8935577273368835,0.8170994500717091,0.8107744426615349,building,0.001
0.8975680470466614,0.8935577273368835,0.11198857574511083,0.10112873258343899,wall,0.001
0.8975680470466614,0.8935577273368835,0.19113019483802565,0.17823640298541685,fence,0.001
0.8975680470466614,0.8935577273368835,0.31115802041669155,0.2913752455865005,pole,0.001
0.8975680470466614,0.8935577273368835,0.21547048477623895,0.19378399537527916,traffic light,0.001
0.8975680470466614,0.8935577273368835,0.37981825903888905,0.35649518502386585,traffic sign,0.001
0.8975680470466614,0.8935577273368835,0.8537666851023071,0.8475216404410897,vegetation,0.001
0.8975680470466614,0.8935577273368835,0.43987776815748303,0.4248307281353192,terrain,0.001
0.8975680470466614,0.8935577273368835,0.8979697961810874,0.8910454492378617,sky,0.001
0.8975680470466614,0.8935577273368835,0.46581466646250896,0.4481162137770467,person,0.001
0.8975680470466614,0.8935577273368835,0.03768144125123276,0.026481944379373352,rider,0.001
0.8975680470466614,0.8935577273368835,0.780914145195607,0.7713281964957448,car,0.001
0.8975680470466614,0.8935577273368835,0.06255585680338217,0.05428959877613514,truck,0.001
0.8975680470466614,0.8935577273368835,0.13752531268320803,0.12591408962415127,bus,0.001
0.8975680470466614,0.8935577273368835,0.07989881370946383,0.07409193570269737,train,0.001
0.8975680470466614,0.8935577273368835,0.016749300096062875,0.01010264148760251,motorcycle,0.001
0.8975680470466614,0.8935577273368835,0.4222636100487399,0.40068379083951977,bicycle,0.001
0.8975680470466614,0.8842447400093079,0.9471796272843235,0.9345514275368573,road,0.01
0.8975680470466614,0.8842447400093079,0.6417212025864121,0.5778547357244013,sidewalk,0.01
0.8975680470466614,0.8842447400093079,0.8170994500717091,0.7874011989254802,building,0.01
0.8975680470466614,0.8842447400093079,0.11198857574511083,0.06838748772536951,wall,0.01
0.8975680470466614,0.8842447400093079,0.19113019483802565,0.13481968133728092,fence,0.01
0.8975680470466614,0.8842447400093079,0.31115802041669155,0.22519650475009498,pole,0.01
0.8975680470466614,0.8842447400093079,0.21547048477623895,0.12467452184339367,traffic light,0.01
0.8975680470466614,0.8842447400093079,0.37981825903888905,0.2765033120292745,traffic sign,0.01
0.8975680470466614,0.8842447400093079,0.8537666851023071,0.8242452358248669,vegetation,0.01
0.8975680470466614,0.8842447400093079,0.43987776815748303,0.3713566381758844,terrain,0.01
0.8975680470466614,0.8842447400093079,0.8979697961810874,0.8645998334383836,sky,0.01
0.8975680470466614,0.8842447400093079,0.46581466646250896,0.3857360539587265,person,0.01
0.8975680470466614,0.8842447400093079,0.03768144125123276,0.005414009492778489,rider,0.01
0.8975680470466614,0.8842447400093079,0.780914145195607,0.7359009123415272,car,0.01
0.8975680470466614,0.8842447400093079,0.06255585680338217,0.03076853989538561,truck,0.01
0.8975680470466614,0.8842447400093079,0.13752531268320803,0.08800911021501734,bus,0.01
0.8975680470466614,0.8842447400093079,0.07989881370946383,0.05499931577417607,train,0.01
0.8975680470466614,0.8842447400093079,0.016749300096062875,0.000657639966178516,motorcycle,0.01
0.8975680470466614,0.8842447400093079,0.4222636100487399,0.3257110877058162,bicycle,0.01
0.8975680470466614,0.8599933981895447,0.9471796272843235,0.9071072326559321,road,0.05
0.8975680470466614,0.8599933981895447,0.6417212025864121,0.4573773309846152,sidewalk,0.05
0.8975680470466614,0.8599933981895447,0.8170994500717091,0.7279602702353776,building,0.05
0.8975680470466614,0.8599933981895447,0.11198857574511083,0.02199807870701866,wall,0.05
0.8975680470466614,0.8599933981895447,0.19113019483802565,0.0572987227661188,fence,0.05
0.8975680470466614,0.8599933981895447,0.31115802041669155,0.09922586618021909,pole,0.05
0.8975680470466614,0.8599933981895447,0.21547048477623895,0.02481688921758292,traffic light,0.05
0.8975680470466614,0.8599933981895447,0.37981825903888905,0.1228568115066926,traffic sign,0.05
0.8975680470466614,0.8599933981895447,0.8537666851023071,0.7639254738935881,vegetation,0.05
0.8975680470466614,0.8599933981895447,0.43987776815748303,0.24995514406104663,terrain,0.05
0.8975680470466614,0.8599933981895447,0.8979697961810874,0.7913301130452668,sky,0.05
0.8975680470466614,0.8599933981895447,0.46581466646250896,0.24938248765405763,person,0.05
0.8975680470466614,0.8599933981895447,0.03768144125123276,0.0,rider,0.05
0.8975680470466614,0.8599933981895447,0.780914145195607,0.6490842789114475,car,0.05
0.8975680470466614,0.8599933981895447,0.06255585680338217,0.005842805169714014,truck,0.05
0.8975680470466614,0.8599933981895447,0.13752531268320803,0.027167806197268937,bus,0.05
0.8975680470466614,0.8599933981895447,0.07989881370946383,0.025235392306132923,train,0.05
0.8975680470466614,0.8599933981895447,0.016749300096062875,0.0,motorcycle,0.05
